"Date and Time","Date and Time","Short Course Description","Body","Title"
"May 12, 2009 - 7:00pm","May 12, 2009 - 8:00pm","In this class we wil blah blah blah blah","test course","test course"
"May 16, 2009 - 10:00am","May 16, 2009 - 11:00am","yes, it's spanish","","Spanish"
"May 12, 2009 - 10:00am","May 12, 2009 - 11:00am","become a ninja at it","","intro to print design"
"October 7, 2009 - 6:00pm","October 7, 2009 - 7:30pm","This class is an introduction to the Middle East through lectures and conversations about major social and political events from the past 100 years.","This is an eight week class intended to provide an introduction to the complex and diverse region that we call the modern Middle East. Although this is not a ""current events"" class it will contextualize many of the current social and political events that we seen in the news every day.
 
Week 1 - October 7: Introducing the Middle East part I - Where is it and what is it?
 
This first session covers issues of geography and language.  Commonalities and differences of language are an essential part of how the Middle East functions and how groups of people interact with each other.
 
Week 2 - October 14: Introducing the Middle East part II – Who lives there?
 
The second session covers issues of religion and ethnicity, particularly in light of the language and geography addressed during week 1.
 
****October 21 - No Class****
 
Week 3 - October 28: European involvement 1900 to 1939.
 
The fall of the Ottoman Empire, the discovery of oil, and the decline of Colonialism
 
Week 4 - November 4: European involvement 1940 to 1979
 
Coalescing nationalist projects and the gradual independence of various Middle Eastern states:
Nasserism, Baathism, pan-Arabism, Wahabism, Zionism, socialism, and capitalism.
 
Week 5 - November 11: Discussing some notable leaders from the developing Middle East.
 
Mustapha Attaturk, Sayyid Quttub, Abdul Nasser, Ayatolla Khomeni, Moammar Qaddafi, The Shah of Iran, and the Saud family
 
 Week 6 - November 18 : Experiments with democracy and representation
 
Lebanon, Egypt, Turkey, Tunisia, Israel, Iran, Oman
 
Week 7 - November 25: Experiments with ethnic and religious nationalism
 
Pakistan, Israel, Libya, Iraq, Iran, Saudi Arabia, Sudan
 
Week 8 - December 2: Civil and uncivil wars in the Middle East
 
The Iran/Iraq war, the ongoing Lebanese civil war, the Pakistan/India dispute over Kashmir, the various Israel-centered conflicts, and the moderately successful reunification efforts in Cyprus and Yemen","History of the Modern Middle East"
"September 24, 2009 - 6:00pm","September 24, 2009 - 8:00pm","Reading/discussing short fiction with a focus on the social issues raised by the stories we'll read","Requirements: Students must be able to read at a high school level. Students will read two or three short stories per week and discuss. Class discussions will focus on social issues raised by the work as well as literary/stylistic concerns. Students are invited to bring in additional short stories of their own choosing. (However, since this is not a creative writing class, students should not bring in original work.) Students will submit one five-to-10-page paper about a story discussed in class or one of their own choosing. Papers will be evaluated but not graded.  Issues discussed may include but are not limited to politics, sex, drugs, the media, racial conflict, war, art, show business, and anything else I can find good short stories about....
Writers whose work may be read/discussed include Stephen Crane, Carson McCullers, Weldon Kees, Anna Kavan, William Burroughs, Richard Yates, Langston Hughes, James Joyce, Sherwood Anderson, Ring Lardner, Gavin Lambert, Madison Smartt Bell, Wolfgang Borchert, Elizabeth Bowen, Kay Boyle, and others....
 Topics & reading list for first few weeks (this list should be considered tentative):
Week 1--Race: ""Slave on the Block"", Langston Hughes/""A Really Good Jazz Piano"", Richard Yates/""The Child Born Out of the Fog"", Anais Nin
Week 2--Sex: ""An Encounter"", James Joyce/""The Strength of God"", Sherwood Anderson/""I Should Worry"", Weldon Kees
Week 3--Drugs: ""The Love-Philtre of Ikey Schoenstein"", O. Henry/""My First Days on Junk"", William Burroughs/""Julia and the Bazooka"", Anna Kavan
Week 4--Art & Artists: ""Wunderkind"", Carson McCullers/""The Naked Lady"", Madison Bell/""Da-Da-Dee"", Chester Himes
Week 5--War: ""My Paleface Brother"", Wolfgang Borchert/""Soldier's Home"", Ernest Hemingway/""Effigy of War"", Kay Boyle
Week 6--Hollywood--""The Closed Set"", Gavin Lambert/""The Man Who Hated Moonbaum"", James Thurber/""Golden Land"", William Faulkner
Week 7--Jokers/Tricksters--""Haircut"", Ring Lardner/""The Open Window"", Saki (Hector Hugh Munro)","CREATIVE READING--The Short Story"
"July 14, 2009 - 8:00pm","July 14, 2009 - 9:30pm","A facilitated discussion aimed at designing a logical solution to the Drug War in Baltimore and the United States.","As most of us know, the Drug War has failed...miserably. We are fighting a 'war' in our own streets against our own people with no end in sight under our current policies. The purpose of this class is not to reiterate statistics, not to tell people that drugs are dangerous, but instead to design a proposal stating a logical solution to the Drug War to be presented to Baltimore's Mayor Sheila Dixon and the General and City Assembly.
Below is a list of issues that I wish to address throughout this course:
 
-Expansion of Adult Drug Treatment and Needle Exchange Programs
-Youth Drug Treatment Programs
-Mandatory Minimum Sentencing
-The Incorporation of Dealers and Users back into Society
-Regulation and Taxation of Drugs
-Funding
-Proper Drug Education
-Hemp: Saving America's Farmers and Economy
 
...and any other issue that the class deems necessary.
 
If you have any questions, feel free to email me at thevolunteer1@gmail.com
Thank you all very much for your time and interest.
 
Love,
Brett
 
Discuss this course.
 
 ","Solution to the Drug War"
"July 27, 2009 - 6:00pm","July 27, 2009 - 9:00pm","A one-session lecture and discussion on the connections between real estate and urban warfare","From the clearing of the Paris streets by Baron Haussmann in the 1860's to the more recent policies of ""spatial deconcentration"" aimed at America's inner cities (and their populations), this one-time lecture will examine the connections between urban development and urban counterinsurgency.  Special attention will be paid to how market mechanisms and even seemingly well-meaning liberal urban policy can be seen as providing cover for more insidious forms of war on the poor. 


Discuss this course.","Urban Development as Counterinsurgency"
"August 18, 2009 - 6:00pm","August 18, 2009 - 7:30pm","This reading and discussion course will focus on reading contemporary female poets. Students do not need to have read a great deal of poetry but should be open-minded and willing to discuss poems that may contain disturbing and/or graphic images."," 
Within the past decade, a stealth wave of female poets born in the 1960s, ‘70s, and ‘80s has snuck onto the contemporary poetry scene, reinvigorating it by raising pertinent, paradoxical questions about femininity, sexuality, and pop culture. In 2003, poet Arielle Greenberg outlined her theory of the Gurlesque: “I came up with the term Gurlesque because of the word’s evocation of three different ideas: Mikhail Bakhtin’s theory of the carnivalesque, burlesque theater, and the feminist punk movement riot grrl.” Greenberg noticed a trend among female poets of her generation to write poems that reveled in traditional aspects of girlhood (sparkly things, dresses, dolls, barrettes, and the like) while simultaneously subverting them, often by juxtaposing the cute and the grotesque.
 
But there’s much more to the Gurlesque than blood-spattered, sequined prom gowns. This course will explore the works of several prominent Gurlesque poets to see how writers from disparate backgrounds and parts of the world, working independently, all started addressing similar concerns. More a cultural phenomenon than a movement, Gurlesque poems (and other associated works) offer entry into a world both autobiographical and fantastical, an often giddy mélange that may challenge your ideas of what poetry is and how women should sound on the page.
 
Writers we will discuss include Arielle Greenberg, Danielle Pafunda, Catherine Wagner, Chelsey Minnis, Lara Glenum, and Aase Berg as well as others. (One independent chapbook press, Dancing Girl, publishes chapbooks exclusively by women, many of which include poems that could be considered Gurlesque: I have some of these, which are difficult to find in libraries, and am happy to share them during class.) I also work at Johns Hopkins, so I can easily access the Eisenhower Library’s excellent collection of these poets for class use.
 
Questions that we will discuss include the following: What do other Gurlesque art forms look/sound like (visual art, film, music)? How do writers from non-white, non-middle class backgrounds approach the Gurlesque? What forms does the Gurlesque take outside the United States? Will the Gurlesque continue for the foreseeable future or will it lose momentum as the poets age and become more established in their fields? Will the Gurlesque poets “outgrow” the Gurlesque? What is the male equivalent of the Gurlesque, and can male poets be considered Gurlesque? How do these writers feel about the term being applied to them anyway?
 
The first Gurlesque anthology, edited by Arielle Greenberg and Lara Glenum, will be published next year, so this discussion course will give you a one-up on your coffee shop cohorts who are sure to be poring over  it once it hits bookstores.
Discuss this course.
 
 ","Gurlesque A Go-Go: A Bold Trend in Contemporary Poetry"
"August 11, 2009 - 8:00pm","August 11, 2009 - 9:30pm","Learn to perform a home energy audit on your home and save money using no-cost-to-low-cost methods.","During this hour and a half session you will learn the basics of performing a self-led home energy audit. Participants will learn how to find and solve energy loss problems; as well, as save some money on their next energy bill. This class will be personalized. We will be able to discuss budget constraints and how to save money with no-cost-to-low-cost methods. Also, we will discuss novel ways to save energy and water at home. Lastly, we will use actual data collected about the Baltimore area to calculate expected savings. The goal of this class is for participants to learn how to perform energy audits at residential locations.  Every participant will be given an information packet, so that they can perform their own home energy audit!
 
Discuss this course.","Home Energy Audit – On a Budget!"
"October 7, 2009 - 8:00pm","October 7, 2009 - 10:00pm","In this discussion-based course we will, as a class, develop a new lens for seeing the world, its issues, and the course of human history, and in doing so develop drastic and simple solutions for sociopolitical issues.","Man has been living a lie ever since the dawn of the Agricultural Revolution, and as long as we continue this revolution, we will continue to suffer. In this class we will learn from each other how each and every problem we face today is an intrinsic flaw in the structure of our society, how other groups of men have chosen to live and why, and, ultimately, a new understanding of the destiny of humankind.
 
Some issues to be covered are-
 
-Hunger
-Disease
-Poverty (Spiritual/Material)
-Extinction
-etc.
 
 
While no pre-reading is necessary, and may in fact alter the course of the class if done by individual students, the themes covered have been covered in: Endgame (Derrick Jensen), Ishmael/Story of B/My Ishmael (Daniel Quinn), In The Spirit of The Earth (Calvin Luther Martin), and I am sure many more books on these issues have been written.","Man, The Universe, and an End to Poverty: Why and How Natural Law fixes Everything"
